English term,Your translation,Notes
rain, Niederschlag,
drainage, perkolation, alternativ: Versickerung
Soil Water Retention Curve (SWRC), Saugspannungs-Sättigungsbeziehung, alternativ: Saugspannungs-Wassergehalts-Beziehung; pF-Kurve
unsaturated zone, ungesättige Zone,
saturated zone, gesättige Zone,
pressure head, Druckwasserspiegel, alternativ: Potentialhöhe
suction head, Saugspannung,
matric potential, Matrixpotential,
capillary pressure, Kapillardruck,
capillary forces, Kapillarkraft,
hydraulic conductivity, hydraulische Leitfähigkeit,
relative hydraulic conductivity, relative hydraulische Leitfähigkeit,
saturated hydraulic conductivity, gesättige hydraulische Leitfähigkeit, alternativ: hydraulische Leitfähigkeit bei Vollsättigung
volumetric water content, volumetrischer Wassergehalt,
water content, Wassergehalt,
degree of saturation, Sättigungsgrad,
residual water content, residualer Wassergehalt,
saturated water content, Wassergehalt bei Vollsättigung, alternativ: gesättigter Wassergehalt
field capacity, Feldkapazität,
permanent wilting point, permanenter Welkepunkt,
effective field capacity, effektive Feldkapazität,
van Genuchten model, van Genuchten Beziehung, alternativ: van Genuchten Modell
Mualem model, Mualem Beziehung, alternativ: Mualem Modell
retention curve, Retentionskurve,
pore-size distribution, Porengrößenverteilung, alternativ: Verteilung der Porengrößen
hydraulic diffusivity, hydraulische Diffusivität,
infiltration, Infiltration,
recharge, Grundwasserneubildung,
capillary fringe, Kapillarsaum,
soil texture, Bodentextur,
sand, Sand,
silt, Schluff,
clay, Ton,
loam, Lehm,
suction, Saugspannung,
gravitational potential, Gravitationshöhe,
